trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
53,False,"{'a': 0.015, 'e': 0.4515812349225923}",30,8,-18.002728572503024,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 1}",1
54,False,"{'a': 0.015, 'e': 0.44485806622294116}",35,0,-31.581880193963475,"{0: 29, 1: 2, 2: 2, 3: 2, 4: 0}",0
55,False,"{'a': 0.015, 'e': 0.43823499246494924}",20,4,-28.73481613714207,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
56,False,"{'a': 0.015, 'e': 0.43171052342907973}",25,12,12.700901334524737,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.015, 'e': 0.42528319108227414}",30,0,-33.7799714941968,"{0: 27, 1: 1, 2: 0, 3: 1, 4: 1}",0
58,False,"{'a': 0.015, 'e': 0.418951549247639}",30,0,-172.52845362532537,"{0: 22, 1: 2, 2: 1, 3: 1, 4: 4}",0
59,False,"{'a': 0.015, 'e': 0.4127141732790497}",20,0,-6.81788327677596,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
60,False,"{'a': 0.015, 'e': 0.40656965974059917}",20,0,-69.0198055556048,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
61,False,"{'a': 0.015, 'e': 0.40051662609081884}",25,10,-7.665970735701597,"{0: 12, 1: 2, 2: 0, 3: 1, 4: 0}",1
62,False,"{'a': 0.015, 'e': 0.39455371037160114}",20,0,-63.11554110299672,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
63,False,"{'a': 0.015, 'e': 0.38867957090175304}",20,2,-49.5482027513553,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 0}",1
64,False,"{'a': 0.015, 'e': 0.38289288597511206}",25,15,-67.13307245901582,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 1}",1
65,False,"{'a': 0.015, 'e': 0.37719235356315695}",20,0,13.480102305749439,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
66,False,"{'a': 0.015, 'e': 0.3715766910220457}",30,0,-74.71593840563405,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",1
67,False,"{'a': 0.015, 'e': 0.3660446348040154}",20,6,-44.54969166842396,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
68,False,"{'a': 0.015, 'e': 0.3605949401730783}",25,0,-27.671203608891094,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
69,False,"{'a': 0.015, 'e': 0.3552263809249515}",20,6,2.1898763188506196,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.015, 'e': 0.3499377491111553}",20,9,18.15658185467494,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
