trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
194,False,"{'a': 0.015, 'e': 0.05447572986918988}",20,0,19.369293370316907,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
195,False,"{'a': 0.015, 'e': 0.053664691912730135}",30,21,14.987906836612552,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.015, 'e': 0.05286572873835037}",25,17,11.478892262816926,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.015, 'e': 0.05207866057596569}",25,10,24.54012100799418,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.015, 'e': 0.051303310331919136}",25,17,15.057956606070762,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.015, 'e': 0.050539503549134696}",20,6,22.020410625418343,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.015, 'e': 0.049787068367863944}",25,12,22.534715646011993,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.015, 'e': 0.04904583548701675}",20,14,12.255612111066732,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.015, 'e': 0.04831563812606779}",20,11,15.922870881187997,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.015, 'e': 0.04759631198753032}",20,0,23.89252721012854,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.015, 'e': 0.046887695219988486}",20,2,31.529340343607938,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.015, 'e': 0.04618962838168012}",20,0,32.32931906538488,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
206,False,"{'a': 0.015, 'e': 0.04550195440462157}",20,10,17.74883997010848,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.015, 'e': 0.04482451855926687}",25,19,11.560430771671271,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.015, 'e': 0.04415716841969286}",20,12,13.142290955563613,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.015, 'e': 0.043499753829302754}",25,7,29.144072035544966,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.015, 'e': 0.04285212686704019}",20,0,26.885230793090926,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
211,False,"{'a': 0.015, 'e': 0.042214141814106466}",20,4,14.746999899703745,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
212,False,"{'a': 0.015, 'e': 0.04158565512117318}",25,6,25.59004597772003,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.015, 'e': 0.040966525376082946}",20,6,11.134208245563563,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
214,False,"{'a': 0.015, 'e': 0.04035661327203115}",35,13,18.356635779135544,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
215,False,"{'a': 0.015, 'e': 0.039755781576221304}",20,16,5.502652563562571,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.015, 'e': 0.03916389509898708}",20,14,11.09726471846477,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.015, 'e': 0.03858082066337404}",20,3,32.89050117102894,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.015, 'e': 0.038006427075174314}",20,11,13.236889348282176,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.015, 'e': 0.037440585093407336}",20,8,23.01717585465866,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.015, 'e': 0.036883167401240015}",20,12,14.676394669161539,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.015, 'e': 0.036334048577339996}",20,0,27.789131596009643,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
222,False,"{'a': 0.015, 'e': 0.0357931050676553}",20,4,22.879731692805777,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.015, 'e': 0.035260215157614135}",20,6,22.682132732957932,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.015, 'e': 0.03473525894473856}",25,11,22.63471858648761,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.015, 'e': 0.03421811831166603}",25,10,27.93098295527496,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.015, 'e': 0.033708676899572416}",25,0,34.63383041619702,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
227,False,"{'a': 0.015, 'e': 0.03320682008199073}",20,13,12.033125347567328,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.015, 'e': 0.03271243493901982}",20,9,21.176019673343703,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.015, 'e': 0.0322254102319168}",20,8,24.098060832469734,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.015, 'e': 0.03174563637806795}",20,11,14.413825166299844,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.015, 'e': 0.03127300542633206}",25,0,36.334368198033815,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
232,False,"{'a': 0.015, 'e': 0.030807411032751076}",25,20,7.144845870794349,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.015, 'e': 0.030348748436622216}",20,11,12.936410327805781,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.015, 'e': 0.02989691443692632}",30,8,38.498913978486385,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.015, 'e': 0.02945180736910729}",20,6,26.853872866234003,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.015, 'e': 0.029013327082197053}",30,5,35.12092985057752,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.015, 'e': 0.028581374916281214}",20,12,12.617646356958993,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.015, 'e': 0.028155853680300106}",25,4,38.02242180137743,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.015, 'e': 0.027736667630180466}",20,10,21.232691251509507,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.015, 'e': 0.02732372244729257}",20,7,21.615891350884816,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.015, 'e': 0.026916925217228122}",25,3,34.88771165294023,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.015, 'e': 0.02651618440889418}",35,12,35.58586774095098,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.015, 'e': 0.026121409853918233}",30,20,19.083648341522583,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.015, 'e': 0.025732512726359954}",30,9,6.9492426061196735,"{0: 19, 1: 1, 2: 0, 3: 1, 4: 0}",1
245,False,"{'a': 0.015, 'e': 0.025349405522724945}",30,18,24.970238577724228,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.015, 'e': 0.024972002042276155}",20,13,14.21113938558699,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.015, 'e': 0.024600217367638302}",20,8,20.291425824841937,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.015, 'e': 0.024233967845691123}",25,17,9.743845908265264,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.015, 'e': 0.023873171068747034}",30,9,33.569055484817724,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.015, 'e': 0.023517745856009107}",30,20,15.006005874696879,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.015, 'e': 0.02316761223530503}",25,0,37.40295936817805,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
252,False,"{'a': 0.015, 'e': 0.02282269142509298}",25,8,27.080257450071343,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.015, 'e': 0.02248290581673553}",20,5,24.28567678521791,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.015, 'e': 0.022148178957037315}",20,7,19.02990306190261,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.015, 'e': 0.021818435531042773}",25,9,16.23741300695227,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.015, 'e': 0.021493601345089923}",25,18,12.941306269499979,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.015, 'e': 0.02117360331011653}",25,13,23.45495938894881,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.015, 'e': 0.020858369425214726}",20,0,26.76979661607197,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
259,False,"{'a': 0.015, 'e': 0.020547828761430496}",20,10,20.607129005834782,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.015, 'e': 0.02024191144580439}",25,4,29.070757013453814,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.015, 'e': 0.019940548645649796}",25,20,8.809526294197308,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",30,21,15.416059061542772,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,14,14.303597937347995,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,11,26.81512641535607,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,17,13.30300520498732,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,16,16.07536168343943,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",35,17,30.744597288074715,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,8,30.368182597992867,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,11,15.494209831532197,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,15,9.702901017282409,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",30,16,24.541511445971143,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0.0, 'e': 0.0}",25,9,27.379847253447522,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0.0, 'e': 0.0}",25,12,23.25859973114365,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0.0, 'e': 0.0}",20,0,27.5810543490441,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0.0, 'e': 0.0}",35,18,29.610079943249925,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0.0, 'e': 0.0}",20,16,7.2662208164824005,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0.0, 'e': 0.0}",20,0,29.592384694490164,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,True,"{'a': 0.0, 'e': 0.0}",25,18,13.127629998948304,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0.0, 'e': 0.0}",25,14,15.237400016750042,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0.0, 'e': 0.0}",25,14,18.82254989461656,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0.0, 'e': 0.0}",20,0,27.95519389345764,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
